Day,Pattern,Difficulty Level,Problem Name
Day 14,Queue,Medium,Task Scheduler (Greedy + Queue)
Day 15,Graph,Medium,Course Schedule II
Day 15,Intervals,Medium,Maximum CPU Load / Peak Overlap Count
Day 15,Trie,Medium,Design Add and Search Words
Day 15,Trie,Medium,Count Distinct Substrings
Day 15,Monotonic Stack,Easy,Next Greater Element I
Day 15,Trie,Hard,Word Search II
Day 15,Prefix Sum,Medium,Subarray Sum Equals K
Day 15,Greedy,Medium,Task Scheduler
Day 15,Linked List,Hard,Reverse Nodes in k-Group
Day 15,Recursion,Medium,Decode Ways
Day 16,Two Pointers,Medium,Sort Colors (Dutch National Flag)
Day 16,Dynamic Programming,Medium,Unique Paths
Day 16,Dynamic Programming,Medium,Partition Equal Subset Sum
Day 16,Trie,Medium,Replace Words
Day 16,Backtracking,Medium,Palindrome Partitioning
Day 16,Heap,Hard,Merge K Sorted Lists
Day 16,Greedy,Hard,Candy Distribution
Day 16,Intervals,Medium,Minimum Number of Arrows to Burst Balloons
Day 16,Graph,Medium,Pacific Atlantic Water Flow
Day 16,Linked List,Medium,Reorder List
Day 17,Backtracking,Medium,Word Search
Day 17,Monotonic Stack,Hard,Largest Rectangle in Histogram
Day 17,Dynamic Programming,Medium,Decode Ways
Day 17,Linked List,Medium,Flatten a Multilevel Doubly Linked List
Day 17,Graph,Medium,Clone Graph
Day 17,Graph,Medium,Number of Islands
Day 17,Trees,Medium,Lowest Common Ancestor (LCA) of a Binary Tree
Day 17,Graph,Hard,Word Ladder
Day 17,Binary Search,Medium,Koko Eating Bananas (Binary Search on Answer)
Day 17,Backtracking,Medium,Permutations II (With Duplicates)
Day 18,Sliding Window,Hard,Minimum Window Substring
Day 18,Binary Search,Medium,Search a 2D Matrix
Day 18,Queue,Medium,BFS – Shortest Path in Binary Matrix
Day 18,Binary Search,Medium,Find Minimum in Rotated Sorted Array
Day 18,Intervals,Medium,Insert Interval
Day 18,Monotonic Stack,Medium,Stock Span Problem
Day 18,Dynamic Programming,Hard,Matrix Chain Multiplication
Day 18,Dynamic Programming,Medium,Longest Common Subsequence
Day 18,Recursion,Medium,Permutations of a String/Array
Day 18,Recursion,Medium,Tower of Hanoi
Day 19,Two Pointers,Medium,Longest Substring Without Repeating Characters
Day 19,Recursion,Medium,Merge Sort
Day 19,Backtracking,Medium,Combination Sum II (Each element used once)
Day 19,Queue,Hard,Sliding Window Maximum (Monotonic Deque)
Day 19,Disjoint Set,Medium,Graph Valid Tree
Day 19,Prefix Sum,Medium,Minimum Size Subarray Sum (Prefix Sum + Binary Search)
Day 19,Sliding Window,Medium,Permutation in String
Day 19,Queue,Medium,Design Circular Queue
Day 19,Intervals,Hard,Summary Ranges / Data Stream as Disjoint Intervals
Day 19,Recursion,Medium,Generate All Subsets (Power Set)
Day 20,Backtracking,Hard,N-Queens
Day 20,Dynamic Programming,Medium,Word Break
Day 20,Intervals,Hard,Employee Free Time
Day 20,Linked List,Medium,Copy List with Random Pointer
Day 20,Trees,Medium,Path Sum II (All Root-to-Leaf Paths with Target Sum)
Day 20,Graph,Medium,Cheapest Flights Within K Stops
Day 20,Monotonic Stack,Medium,Remove K Digits to Make Smallest Number
Day 20,Binary Search,Medium,Find Peak Element
Day 20,Linked List,Medium,Linked List Cycle II — Find Cycle Start
Day 20,Binary Search,Medium,Search in Rotated Sorted Array
Day 21,Trees,Medium,Validate Binary Search Tree
Day 21,Heap,Medium,Dijkstra's Shortest Path
Day 21,Two Pointers,Medium,Minimum Size Subarray Sum
Day 21,Queue,Hard,Largest Rectangle in Histogram (Monotonic Stack + Queue intuition)
Day 21,Sliding Window,Hard,Minimum Window Subsequence
Day 21,Trees,Medium,Construct Binary Tree from Preorder and Inorder Traversal
Day 21,Recursion,Medium,Lowest Common Ancestor (LCA)
Day 21,Disjoint Set,Medium,Satisfiability of Equality Equations
Day 21,Recursion,Medium,Flatten Nested List (Recursive Structures)
Day 21,Intervals,Medium,Interval List Intersections
Day 22,Binary Search,Medium,Find First and Last Position (Search Range)
Day 22,Greedy,Medium,Activity Selection / Interval Scheduling
Day 22,Greedy,Medium,Huffman Encoding (Greedy + Heap)
Day 22,Backtracking,Medium,Combination Sum
Day 22,Two Pointers,Medium,Container With Most Water
Day 22,Sliding Window,Medium,Longest Substring Without Repeating Characters
Day 22,Backtracking,Hard,Sudoku Solver
Day 22,Prefix Sum,Hard,Count of Range Sum
Day 22,Queue,Medium,First Non-Repeating Character in Stream
Day 22,Backtracking,Medium,Subsets (Power Set)
