Pattern,Difficulty Level,Problem Name
Binary Search,Medium,Koko Eating Bananas (Binary Search on Answer)
Binary Search,Hard,Median of Two Sorted Arrays
Binary Search,Medium,Find Peak Element
Binary Search,Medium,Search a 2D Matrix
Binary Search,Hard,Aggressive Cows / Allocate Books (Maximize Minimum)
Binary Search,Hard,Find in Mountain Array (Unknown Size / Double Binary Search)
Heap,Medium,Kth Largest Element in an Array
Heap,Medium,Top K Frequent Elements
Heap,Hard,Merge K Sorted Lists
Heap,Hard,Find Median from Data Stream
Heap,Medium,Task Scheduler
Heap,Medium,K Closest Points to Origin
Heap,Medium,Reorganize String
Heap,Medium,Dijkstra's Shortest Path
Heap,Medium,Minimum Cost to Connect Ropes (Huffman-style)
Heap,Medium,Find K Pairs with Smallest Sums
Intervals,Medium,Merge Intervals
Intervals,Medium,Insert Interval
Intervals,Easy,Meeting Rooms I (Can Attend All?)
Intervals,Medium,Meeting Rooms II (Minimum Rooms Required)
Intervals,Medium,Non-Overlapping Intervals (Minimum Removals)
Intervals,Medium,Minimum Number of Arrows to Burst Balloons
Intervals,Medium,Maximum CPU Load / Peak Overlap Count
Intervals,Hard,Employee Free Time
Intervals,Medium,Interval List Intersections
Intervals,Hard,Summary Ranges / Data Stream as Disjoint Intervals
Monotonic Stack,Easy,Next Greater Element I
Monotonic Stack,Medium,Daily Temperatures
Monotonic Stack,Hard,Largest Rectangle in Histogram
Monotonic Stack,Hard,Trapping Rain Water
Monotonic Stack,Hard,Maximal Rectangle (Binary Matrix)
Monotonic Stack,Medium,Stock Span Problem
Monotonic Stack,Medium,Remove K Digits to Make Smallest Number
Monotonic Stack,Medium,Next Greater Element II (Circular Array)
Monotonic Stack,Medium,Sum of Subarray Minimums
Monotonic Stack,Medium,Largest Rectangle in Buildings / Skyline (132 Pattern)
Prefix Sum,Easy,Range Sum Query (1D)
Prefix Sum,Medium,Subarray Sum Equals K
Prefix Sum,Medium,Product of Array Except Self
Prefix Sum,Easy,Find Pivot Index
Prefix Sum,Medium,Contiguous Array (Equal 0s and 1s)
Prefix Sum,Medium,Range Sum Query 2D (Immutable)
Prefix Sum,Medium,Subarray Sums Divisible by K
Prefix Sum,Easy,Maximum Sum of Subarray of Size K (Sliding Window + Prefix)
Prefix Sum,Hard,Count of Range Sum
Prefix Sum,Medium,Minimum Size Subarray Sum (Prefix Sum + Binary Search)
Recursion,Easy,Factorial
Recursion,Easy,Fibonacci Number
Recursion,Medium,Power Function (Fast Exponentiation)
Recursion,Easy,Binary Search (Recursive)
Recursion,Medium,Merge Sort
Recursion,Medium,Tower of Hanoi
Recursion,Medium,Generate All Subsets (Power Set)
Recursion,Medium,Permutations of a String/Array
Recursion,Medium,Combination Sum
Recursion,Hard,N-Queens
Recursion,Medium,Word Search in Grid
Recursion,Medium,Flatten Nested List (Recursive Structures)
Recursion,Easy,Height of Binary Tree
Recursion,Easy,Diameter of Binary Tree
Recursion,Medium,Validate Binary Search Tree
Recursion,Medium,Lowest Common Ancestor (LCA)
Recursion,Medium,Decode Ways
Recursion,Medium,Letter Combinations of a Phone Number
Recursion,Hard,Regular Expression Matching
Recursion,Hard,Sudoku Solver
Trees,Hard,Binary Tree Maximum Path Sum
Trees,Easy,Diameter of Binary Tree
Trees,Medium,Lowest Common Ancestor (LCA) of a Binary Tree
Trees,Medium,Binary Tree Level Order Traversal
Trees,Hard,Serialize and Deserialize Binary Tree
Trees,Medium,Validate Binary Search Tree
Trees,Medium,Binary Tree Right Side View
Trees,Medium,Construct Binary Tree from Preorder and Inorder Traversal
Trees,Medium,Kth Smallest Element in a BST
Trees,Medium,Flatten Binary Tree to Linked List
Trees,Medium,Path Sum II (All Root-to-Leaf Paths with Target Sum)
Trees,Hard,Morris Inorder Traversal (O(1) Space)
Trees,Medium,Count Good Nodes in a Binary Tree
Trees,Medium,Fenwick Tree (Binary Indexed Tree) — Range Sum Queries
Trees,Hard,Fenwick Tree — Count of Smaller Numbers After Self
Greedy,Medium,Activity Selection / Interval Scheduling
Greedy,Medium,Fractional Knapsack
Greedy,Medium,Jump Game II — Minimum Jumps
Greedy,Medium,Gas Station
Greedy,Medium,Meeting Rooms II — Minimum Meeting Rooms
Greedy,Medium,Task Scheduler
Greedy,Hard,Candy Distribution
Greedy,Medium,Huffman Encoding (Greedy + Heap)
Greedy,Medium,Minimum Number of Platforms (Trains)
Greedy,Medium,Minimum Cost to Connect Ropes (Kruskal-style Greedy)
Two Pointers,Easy,Two Sum II (Sorted Array)
Two Pointers,Medium,Container With Most Water
Two Pointers,Medium,3Sum
Two Pointers,Easy,Remove Duplicates from Sorted Array
Two Pointers,Medium,Linked List Cycle Detection (Floyd's Algorithm)
Two Pointers,Hard,Trapping Rain Water
Two Pointers,Medium,Minimum Size Subarray Sum
Two Pointers,Medium,Longest Substring Without Repeating Characters
Two Pointers,Medium,Sort Colors (Dutch National Flag)
Two Pointers,Easy,Merge Sorted Array
